customer_id,discount_applied,order_count_before,order_count_after,total_spend_before,total_spend_after,Percentage_change
1286,No,4,11,1736.119038,3601.461583,107.44324
1563,Yes,10,2,923.6499923,387.8229682,-58.01191236
1289,No,2,8,3526.359734,9705.813801,175.2360659
1053,No,4,3,1683.084961,326.5929067,-80.59557811
1516,Yes,19,2,3746.981815,6747.656727,80.08245197
1618,Yes,17,21,4257.919523,3466.156079,-18.5950777
1197,Yes,15,4,899.9572632,3869.264637,329.9387087
1395,No,10,17,113.9073644,5939.822232,5114.607734
1541,No,6,18,1738.815259,7994.11893,359.7451562
1292,Yes,11,29,3368.849758,3303.887322,-1.92832692
1467,No,15,4,221.5972608,8939.710404,3934.215212
1119,No,15,5,1272.32252,2311.372859,81.66564076
1224,No,18,23,588.4150421,9283.106736,1477.646061
1889,Yes,6,14,3848.252439,4458.12132,15.84794373
1795,Yes,15,28,1066.992652,5269.159557,393.8327874
1798,Yes,17,26,3970.585826,1816.142458,-54.26008811
1313,No,7,18,3177.49014,5205.807311,63.83394069
1252,No,7,2,3576.414295,6365.316125,77.98039043
1860,No,13,7,2498.41731,4894.104495,95.88819188
1277,No,17,4,4735.561162,9355.92439,97.56738576
1609,No,6,8,3969.317877,8420.547694,112.1409258
1819,Yes,18,29,1705.216045,7667.168145,349.6303074
1303,No,19,25,1291.641609,5756.364818,345.6626962
1671,Yes,14,12,1732.844726,8170.768178,371.5233889
1130,No,13,27,3876.739271,5803.610265,49.70339398
1065,No,12,7,4439.932525,7551.839442,70.0890588
1611,No,5,6,311.8808748,2538.857119,714.0470685
1799,Yes,11,18,4976.507935,8937.967293,79.60319583
1479,Yes,7,9,1048.464905,7148.70888,581.8262442
1028,Yes,10,25,4593.952844,8436.928168,83.65291188
1062,No,5,18,2475.738004,6238.106311,151.9695663
1711,No,19,24,1000.241999,818.9162659,-18.12818629
1319,No,2,6,88.66933457,5214.896824,5781.28562
1722,No,13,23,1835.897524,6411.571154,249.2336076
1818,No,3,15,4000.00416,6925.959092,73.14879723
1048,Yes,19,3,3564.157662,4289.859294,20.36109793
1687,No,1,29,4963.181498,6126.559453,23.44016545
1343,No,17,25,4536.080902,3826.747119,-15.63759108
1736,Yes,15,22,4415.793446,4608.13268,4.355711758
1423,No,4,23,623.691169,2568.261224,311.7841252
1620,Yes,14,15,4143.659158,5437.841055,31.23282704
1431,Yes,3,14,2556.395648,4190.19622,63.91031737
1049,Yes,16,18,2984.695552,5015.505947,68.04078875
1597,Yes,17,21,4744.983391,6647.68181,40.09915867
1089,Yes,1,21,364.1074586,679.309887,86.56851735
1625,No,7,9,369.1008172,4603.494767,1147.218796
1515,Yes,7,28,1521.413566,8860.162144,482.3638189
1153,Yes,10,19,2439.640601,3801.194903,55.80962626
1517,No,6,10,2220.545955,7398.128575,233.1671006
1493,Yes,7,17,1213.978963,194.3154187,-83.99351022
1020,Yes,2,23,4188.78611,8123.768613,93.9408793
1738,Yes,6,17,2118.387325,4786.767453,125.9628065
1756,No,18,15,275.069191,8969.250202,3160.725117
