order_id,product_name,category,month -year,order_date,revenue,region,customer_id,,
364,Milk,Dairy,2023-01,02-01-2023,240.7745265,North,1102,,
1051,Milk,Meat,2023-01,02-01-2023,278.3187557,East,1045,,
1273,Fruits,Bakery,2023-01,02-01-2023,375.7847289,West,1301,,
1313,Eggs,Produce,2023-01,02-01-2023,429.7618678,North,1252,,
1810,Eggs,Grains,2023-01,02-01-2023,173.1602405,South,1443,,
1812,Fruits,Bakery,2023-01,02-01-2023,66.03327023,South,1335,,
1972,Bread,Produce,2023-01,02-01-2023,391.0805768,South,1262,,
1998,Fruits,Meat,2023-01,02-01-2023,411.6595737,South,1802,,
2174,Milk,Dairy,2023-01,02-01-2023,386.077816,South,1730,,
2194,Rice,Grains,2023-01,02-01-2023,56.98455496,East,1194,,
2252,Vegetables,Grains,2023-01,02-01-2023,424.3473392,North,1683,,
2344,Rice,Grains,2023-01,02-01-2023,254.6030768,West,1241,,
2745,Rice,Meat,2023-01,02-01-2023,314.9439713,Central,1914,,
3949,Eggs,Dairy,2023-01,02-01-2023,314.6072068,West,1707,,
4146,Eggs,Bakery,2023-01,02-01-2023,330.6415947,North,1614,,
4382,Vegetables,Meat,2023-01,02-01-2023,483.3412962,North,1988,,
4425,Milk,Bakery,2023-01,02-01-2023,419.99872,Central,1310,,
4677,Chicken,Grains,2023-01,02-01-2023,172.1788515,West,1885,Row Labels,Sum of revenue
4736,Vegetables,Bakery,2023-01,02-01-2023,449.766229,West,1261,<02-01-2023,
4974,Milk,Dairy,2023-01,02-01-2023,267.7821941,Central,1323,Jan,102152.9143
147,Chicken,Dairy,2023-01,03-01-2023,395.7112916,Central,1494,Feb,109304.165
452,Fruits,Dairy,2023-01,03-01-2023,441.027632,North,1725,Mar,103387.8192
834,Milk,Meat,2023-01,03-01-2023,412.0045673,East,1995,Apr,102659.6761
1741,Eggs,Meat,2023-01,03-01-2023,490.155126,West,1660,May,103633.1333
1754,Fruits,Produce,2023-01,03-01-2023,271.5066467,North,1429,Jun,101293.6445
1888,Eggs,Produce,2023-01,03-01-2023,297.8601663,South,1768,Jul,114113.4275
2012,Eggs,Meat,2023-01,03-01-2023,444.141833,West,1303,Aug,97395.4582
2672,Fruits,Meat,2023-01,03-01-2023,470.4364096,West,1502,Sep,107841.2117
4009,Eggs,Grains,2023-01,03-01-2023,254.4268084,West,1200,Oct,115082.6409
4073,Chicken,Dairy,2023-01,03-01-2023,146.3669752,North,1647,Nov,102224.7473
4874,Vegetables,Dairy,2023-01,03-01-2023,126.6723118,South,1781,Dec,103771.5481
103,Chicken,Produce,2023-01,04-01-2023,175.099318,South,1547,Grand Total,1262860.386
285,Milk,Grains,2023-01,04-01-2023,271.0710762,East,1514,,
715,Milk,Bakery,2023-01,04-01-2023,254.1988633,North,1705,,
1216,Bread,Grains,2023-01,04-01-2023,499.1896945,Central,1635,,
1423,Chicken,Meat,2023-01,04-01-2023,199.0809865,North,1621,,
1722,Milk,Grains,2023-01,04-01-2023,267.8675019,North,1469,,
3139,Milk,Bakery,2023-01,04-01-2023,216.0155655,West,1606,,
3166,Milk,Grains,2023-01,04-01-2023,131.5202179,East,1370,,
3219,Bread,Dairy,2023-01,04-01-2023,438.1763859,Central,1637,,
3478,Chicken,Dairy,2023-01,04-01-2023,117.3519455,North,1717,,
3673,Milk,Bakery,2023-01,04-01-2023,326.6785915,North,1461,,
3813,Fruits,Bakery,2023-01,04-01-2023,318.0380692,West,1591,,
3891,Eggs,Dairy,2023-01,04-01-2023,177.5618551,West,1362,,
4179,Vegetables,Bakery,2023-01,04-01-2023,161.2477389,East,1798,,
468,Fruits,Grains,2023-01,05-01-2023,237.9187807,Central,1070,,
987,Vegetables,Meat,2023-01,05-01-2023,204.0209132,Central,1561,,
1617,Vegetables,Grains,2023-01,05-01-2023,61.14176088,South,1840,,
2904,Bread,Bakery,2023-01,05-01-2023,161.509877,West,1639,,
4199,Vegetables,Meat,2023-01,05-01-2023,277.838504,West,1095,,
4396,Milk,Meat,2023-01,05-01-2023,313.5580066,North,1276,,
638,Eggs,Meat,2023-01,06-01-2023,55.86594215,Central,1540,,
1557,Milk,Dairy,2023-01,06-01-2023,424.4000609,East,1803,,
1701,Vegetables,Produce,2023-01,06-01-2023,158.5812644,East,1006,,
1779,Milk,Grains,2023-01,06-01-2023,297.0350903,East,1473,,
1889,Bread,Produce,2023-01,06-01-2023,235.5678502,East,1567,,
1931,Eggs,Dairy,2023-01,06-01-2023,114.8706538,North,1304,,
2015,Rice,Produce,2023-01,06-01-2023,218.6686164,West,1677,,
2741,Eggs,Grains,2023-01,06-01-2023,493.5669878,West,1641,,
2751,Bread,Produce,2023-01,06-01-2023,101.7542811,West,1074,,
3113,Milk,Dairy,2023-01,06-01-2023,350.2863063,West,1710,,
3318,Chicken,Grains,2023-01,06-01-2023,332.7902807,East,1505,,
4760,Milk,Grains,2023-01,06-01-2023,28.51630735,Central,1732,,
1240,Bread,Produce,2023-01,07-01-2023,203.3780485,North,1269,,
1905,Fruits,Meat,2023-01,07-01-2023,59.58154765,South,1012,,
2207,Eggs,Bakery,2023-01,07-01-2023,426.0026769,North,1669,,
2487,Fruits,Meat,2023-01,07-01-2023,157.4049531,West,1713,,
2685,Chicken,Meat,2023-01,07-01-2023,223.4144478,East,1920,,
2845,Vegetables,Produce,2023-01,07-01-2023,471.6175779,West,1268,,
3562,Chicken,Produce,2023-01,07-01-2023,251.2962203,North,1087,,
4053,Rice,Dairy,2023-01,07-01-2023,358.8955082,Central,1054,,
4279,Milk,Grains,2023-01,07-01-2023,162.9411531,West,1817,,
4368,Chicken,Bakery,2023-01,07-01-2023,325.5252529,West,1704,,
4414,Bread,Produce,2023-01,07-01-2023,166.5565451,East,1117,,
4493,Rice,Grains,2023-01,07-01-2023,244.5761737,North,1839,,
4753,Chicken,Meat,2023-01,07-01-2023,78.23460525,South,1447,,
67,Chicken,Dairy,2023-01,08-01-2023,462.0993381,South,1199,,
641,Fruits,Meat,2023-01,08-01-2023,445.1253876,East,1424,,
649,Bread,Produce,2023-01,08-01-2023,146.5366324,East,1419,,
1057,Milk,Produce,2023-01,08-01-2023,269.9912179,East,1890,,
2077,Chicken,Bakery,2023-01,08-01-2023,344.4187185,North,1280,,
2289,Rice,Dairy,2023-01,08-01-2023,407.9929728,East,1549,,
2712,Bread,Bakery,2023-01,08-01-2023,256.4158231,West,1753,,
3355,Eggs,Produce,2023-01,08-01-2023,100.0792324,East,1578,,
